50,2,Collaborative,389,13848
50,2,Collaborative,145,12276
50,2,Collaborative,146,12892
50,2,Collaborative,155,15736
50,2,Collaborative,152,14684
50,2,Collaborative,147,15104
50,2,Collaborative,128,11884
50,2,Collaborative,131,15304
50,2,Collaborative,115,13780
50,2,Collaborative,113,13260
50,2,Acknowledged,386,13064
50,2,Acknowledged,358,15080
50,2,Acknowledged,392,16488
50,2,Acknowledged,432,19040
50,2,Acknowledged,407,18096
50,2,Acknowledged,409,18040
50,2,Acknowledged,401,17664
50,2,Acknowledged,379,16912
50,2,Acknowledged,402,16592
50,2,Acknowledged,430,18848
50,5,Collaborative,120,14070
50,5,Collaborative,124,15300
50,5,Collaborative,135,16170
50,5,Collaborative,148,16830
50,5,Collaborative,143,17380
50,5,Collaborative,134,16140
50,5,Collaborative,135,14870
50,5,Collaborative,139,18320
50,5,Collaborative,135,14520
50,5,Collaborative,145,17050
50,5,Acknowledged,352,12860
50,5,Acknowledged,476,21100
50,5,Acknowledged,522,21460
50,5,Acknowledged,529,19280
50,5,Acknowledged,566,22360
50,5,Acknowledged,564,22900
50,5,Acknowledged,597,22420
50,5,Acknowledged,587,22700
50,5,Acknowledged,628,27560
50,5,Acknowledged,593,23240
50,10,Collaborative,119,12920
50,10,Collaborative,146,17040
50,10,Collaborative,153,17660
50,10,Collaborative,184,21260
50,10,Collaborative,167,16020
50,10,Collaborative,163,16900
50,10,Collaborative,168,17380
50,10,Collaborative,165,19420
50,10,Collaborative,185,19540
50,10,Collaborative,177,18520
50,10,Acknowledged,625,28300
50,10,Acknowledged,716,29736
50,10,Acknowledged,781,30282
50,10,Acknowledged,903,36036
50,10,Acknowledged,1007,41160
50,10,Acknowledged,958,39858
50,10,Acknowledged,1009,40992
50,10,Acknowledged,981,39522
50,10,Acknowledged,960,36792
50,10,Acknowledged,961,43134
50,25,Collaborative,198,20550
50,25,Collaborative,195,17800
50,25,Collaborative,262,24350
50,25,Collaborative,263,25050
50,25,Collaborative,289,28800
50,25,Collaborative,270,27550
50,25,Collaborative,245,20700
50,25,Collaborative,256,22050
50,25,Collaborative,251,17150
50,25,Collaborative,242,19250
50,25,Acknowledged,1058,56892
50,25,Acknowledged,1549,85140
